id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total
150,B83,447,50,0,0,24,173,831,1239,1659,1756,2497,3058,2862,3559,3993,4114,3323,2651,2106,2174,1528,938,1023,869,40874
151,Q56,480,787,468,396,996,1555,1653,1755,2011,2160,1973,2261,1718,1591,2092,3079,2369,3354,2110,1137,717,551,1090,1267,37570
152,B47,527,394,373,187,298,941,2146,3481,3542,3911,5019,6796,7788,8265,9823,10273,8997,9835,5572,4492,3457,1574,866,511,99068
153,B20,718,222,3,0,0,33,585,2286,2390,1881,2066,2316,1901,1493,2429,2737,3465,4232,1980,2406,2897,2488,1502,1154,41184
154,B49,612,220,42,0,15,273,509,1432,1842,1736,1757,1331,2016,1856,2331,2010,2360,2829,2022,1819,1117,564,550,509,29752
155,Q27,660,464,225,239,510,1950,4404,6065,5140,5222,5437,5506,6516,6027,6281,6231,8172,9645,8676,7173,7618,5428,4156,2655,114400
156,B62,404,460,365,299,268,421,1321,1677,1761,1906,2106,2535,2846,2387,2968,4302,3704,3726,3062,2665,1760,1097,1368,787,44195
157,B38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,B42,113,70,8,17,86,307,394,867,950,562,443,430,450,339,182,248,317,604,605,584,604,111,63,32,8386
159,B6,3828,1807,808,708,1206,4382,10542,18890,17827,15456,15307,16000,17333,20131,22351,26292,26381,25815,23274,18947,15205,10865,6813,4600,324768
160,B3,568,312,85,52,218,796,2535,5222,4927,3649,4890,5899,7301,8512,9436,11557,9768,10404,7646,6291,5478,3288,2331,2095,113260
161,B36,517,255,171,98,185,308,1065,3507,3969,2656,2287,2661,3630,3628,4916,5879,6044,5327,4458,2912,2687,1565,1379,1260,61364
162,B74,0,0,0,0,0,0,0,268,514,361,479,432,531,667,628,1111,1217,990,814,646,983,463,187,38,10329
163,M79-SBS,132,51,16,19,25,84,247,624,644,620,875,1046,1382,1610,1821,2561,1794,2014,1403,1106,762,676,450,296,20258
164,M102,191,26,0,0,0,26,238,439,196,407,708,942,983,967,1651,2159,1681,1742,1714,849,545,289,200,267,16220
165,M101,584,322,4,0,16,116,217,675,984,1194,1049,1060,1438,1932,2202,2753,1877,2379,1116,814,1305,1011,607,305,23960
166,M103,89,0,0,0,0,24,156,186,146,120,286,285,701,897,1015,1349,817,928,916,241,130,249,113,131,8779
167,M23-SBS,198,56,9,13,3,14,118,140,215,435,879,1022,1222,1373,1498,1401,1328,904,561,544,406,279,197,202,13017
168,M60-SBS,155,98,10,0,0,0,0,48,81,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452
169,Bx12-SBS,3,0,0,0,0,1,1582,9165,9959,8818,10789,12987,16817,18983,26150,29895,31167,31503,24947,19447,15117,9560,4656,850,282396
170,M34A-SBS,168,0,0,0,3,18,342,543,583,326,368,312,480,554,803,1366,1279,1125,987,751,636,459,262,438,11803
171,M86-SBS,246,115,39,28,51,252,767,1140,1222,1187,1720,1582,2093,2776,3282,3432,2730,3410,2135,1303,942,900,704,452,32508
172,B46-SBS,8,0,0,0,0,0,762,3553,4789,3895,5951,6455,7683,9258,11003,13644,14335,14346,9915,6379,6000,4542,3371,1458,127347
173,B44-SBS,2,0,0,0,0,0,818,4469,5172,3631,4295,4085,4634,5339,6334,8879,9325,8941,7010,5999,5446,2812,1194,443,88828
174,M14D-SBS,1295,359,195,143,116,921,2215,3943,4699,4208,4807,5799,7322,8244,10307,10792,10618,10064,8416,6784,4986,3093,2301,1668,113295
175,Bx41-SBS,0,0,0,0,0,41,1710,3707,4555,3250,3461,4282,4707,6436,6198,7137,6366,6461,5173,3925,3928,1385,30,0,72752
176,M14A-SBS,804,253,185,129,176,300,921,1296,1743,2340,2985,3191,3728,4809,5942,6822,6708,6408,4193,3515,2589,1647,1737,1551,63972
177,M15,598,746,835,797,608,249,744,617,778,646,621,751,940,835,852,1072,839,731,466,525,299,329,242,422,15542
178,M35,221,0,0,0,0,402,1446,2260,2748,2980,1855,1798,1821,2039,2311,3045,3249,3250,2294,2031,2326,1071,1051,1020,39218
179,Q44-SBS,0,0,0,74,88,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280
180,M34-SBS,48,1,0,0,0,0,108,448,287,232,325,443,371,498,678,1178,1276,1288,737,979,939,605,497,110,11048
181,M15-SBS,11,0,0,0,0,0,55,3035,6456,7745,10048,13179,14896,15792,19964,23681,23117,22115,18436,14640,11755,7413,4809,2118,219265
182,M55,0,0,0,0,0,0,0,41,56,84,81,155,88,220,308,548,200,346,195,124,80,31,57,44,2658
183,M8,0,3,0,0,0,0,0,0,22,40,58,99,85,59,98,74,174,114,48,22,19,5,2,3,925
184,Q1,16,172,47,59,121,393,570,798,825,487,550,536,616,723,801,867,912,607,504,541,421,271,155,91,11083
185,Q88,88,0,0,0,0,0,330,1425,1654,2327,2459,2197,2833,3254,4070,4908,4408,4122,3104,2814,2660,1332,770,156,44911
186,S48,907,617,376,209,465,967,2116,2834,2733,2588,2996,3444,3898,4830,5910,6366,5112,5098,3562,2730,2051,1739,1209,979,63736
187,S52,281,119,4,0,0,112,674,843,658,715,1050,1283,1056,1343,896,1588,1698,2127,1813,1384,928,586,504,428,20090
188,S40,1674,1824,869,785,1132,2346,5931,5421,2388,1141,1442,2496,2132,2163,2819,2664,4208,4067,3191,2248,2563,2977,941,1086,58508
189,S66,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
190,S51,250,225,193,119,158,643,868,1445,1306,962,729,909,888,665,1098,1551,1941,1396,806,1235,494,369,425,489,19164
191,S76,141,0,0,0,0,0,253,830,855,899,1256,993,961,1137,1645,1482,1622,1767,1728,1804,1344,834,686,567,20804
192,S81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,S53,2465,1014,741,441,865,2284,5971,8414,6598,6584,5876,5237,6132,7009,7437,8039,8312,10288,8734,8276,6026,4520,3068,2057,126388
194,S96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,S98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,S93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
