id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_avg
270,QM4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,QM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,QM10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,BxM7,0.0,0.0,0.0,0.0,0.0,15.8667,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.33333,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.725
274,QM16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,QM17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,BxM8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,8.66667,0.0,0.0,7.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,3.57143,0.0,0.0,0.0,0.0,7.625
277,QM34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,BxM10,0.0,0.0,0.0,0.0,0.0,0.0,14.1667,8.66667,0.0,6.28571,3.5,0.0,3.75,3.4,4.15385,3.33333,5.0,7.27273,0.0,0.0,0.0,0.0,0.0,0.0,6.16049
279,QM18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,BM1,1.4,0.0,0.0,0.0,0.0,0.0,6.83333,5.92982,5.52542,3.4186,1.73333,1.0,1.66667,1.0,0.0,7.76923,6.92982,6.17778,6.16981,3.87097,3.625,2.23077,1.2,2.0,5.05486
