id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_count
147,Q54,639,454,385,336,530,992,1367,1370,1158,1061,996,1045,1238,1480,1872,2320,2336,1948,1817,1431,1184,1096,921,704,28680
148,Bx29,179,55,6,0,41,223,355,381,366,335,296,295,338,370,470,523,543,502,461,370,346,299,278,234,7266
149,B25,226,164,126,72,71,153,290,498,636,847,862,948,1098,1151,1254,1554,1407,1193,1211,941,733,513,368,341,16657
150,B83,223,52,0,0,28,235,523,756,747,823,657,651,656,850,1027,1004,802,579,622,576,554,501,429,333,12628
151,Q56,268,173,139,204,257,382,507,713,746,786,753,756,787,869,993,1213,1038,948,827,646,507,457,448,299,14716
152,B47,339,250,195,183,329,784,1309,1564,1470,1498,1291,1367,1522,1519,1696,1998,1866,1762,1808,1511,1209,820,555,448,27293
153,B20,402,198,19,0,2,215,729,1149,993,906,840,901,950,935,1202,1424,1509,1319,1353,1361,1027,820,703,505,19462
154,B49,416,256,62,0,78,253,535,796,770,877,884,825,975,1038,1291,1540,1478,1183,1190,1013,806,616,415,396,17693
155,Q27,519,348,197,191,283,667,1291,2123,2019,1821,1577,1629,1886,1855,2247,2886,2996,2563,2758,2614,2205,1805,1225,636,38341
156,B62,307,249,174,175,234,645,1088,1241,1358,1450,1187,1003,1078,1125,1471,1845,1549,1383,1507,1283,873,700,664,477,23066
157,B38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,B42,89,80,44,35,55,125,228,374,302,243,214,240,253,228,260,355,430,363,475,367,376,254,179,111,5680
159,B6,1316,621,320,410,932,2177,3440,4879,4870,4759,4123,4371,4849,5267,6058,7209,6782,6102,6781,6523,5544,4252,3220,2129,96934
160,B3,399,239,92,75,223,601,1104,1617,1487,1361,1234,1301,1532,1987,2405,2780,2436,2037,2166,1956,1502,1050,702,566,30852
161,B36,361,198,128,102,153,449,971,1883,1766,1402,1141,1091,1311,1537,1863,2173,2016,1557,1876,1677,1022,611,566,526,26380
162,B74,0,0,0,0,0,95,219,362,297,266,262,258,267,282,406,554,489,460,586,483,470,294,193,33,6276
163,M79-SBS,122,58,34,29,66,158,333,624,668,682,567,576,627,702,889,1159,1035,886,836,621,444,382,347,252,12097
164,M102,46,54,93,94,90,102,209,330,276,399,371,275,339,393,505,592,495,438,413,437,342,199,164,110,6766
165,M101,207,141,16,0,20,149,360,464,530,608,563,656,573,668,832,792,656,588,683,537,444,353,305,242,10387
166,M103,47,0,0,0,0,56,163,200,232,233,301,250,359,387,471,487,465,372,304,240,172,185,138,105,5167
167,M23-SBS,146,50,44,49,29,57,167,297,318,369,444,521,561,625,741,797,729,540,520,421,288,199,206,167,8285
168,M60-SBS,41,24,1,0,0,1,50,66,65,102,93,98,96,77,123,142,114,108,108,85,109,86,65,77,1731
169,Bx12-SBS,1,0,0,0,0,185,1178,1903,1908,2002,1802,1750,2114,2418,2913,3273,3064,2631,2726,2355,1952,1342,782,153,36452
170,M34A-SBS,87,2,0,0,3,69,137,191,314,383,310,271,295,305,413,463,485,437,433,288,230,213,178,142,5649
171,M86-SBS,158,84,39,48,77,201,450,778,740,595,605,609,730,788,990,1235,1138,881,849,679,533,509,421,317,13454
172,B46-SBS,12,0,0,0,0,100,660,1462,1525,1201,1072,1128,1116,1326,1688,2185,2223,2105,2202,1884,1489,1182,717,194,25471
173,B44-SBS,8,0,0,0,0,99,649,1402,1468,1454,1324,1328,1544,1679,2009,2413,2350,1901,2122,1907,1667,1242,775,205,27546
174,M14D-SBS,663,251,150,117,232,563,1278,1952,1930,1666,1514,1545,1693,1899,2329,2826,2679,2114,2279,2145,1677,1458,1110,907,34977
175,Bx41-SBS,0,0,0,0,0,59,601,760,771,756,730,751,814,977,1107,1230,1106,952,955,832,772,381,10,0,13564
176,M14A-SBS,402,164,112,108,177,404,778,1085,1090,1109,1071,1023,1116,1178,1356,1602,1554,1397,1335,1244,1065,858,641,518,21387
177,M15,178,200,226,209,139,66,139,281,330,388,393,370,420,421,495,530,516,452,417,423,350,333,276,257,7809
178,M35,70,0,0,0,0,24,112,155,136,124,108,113,140,130,151,209,214,198,148,207,224,147,130,102,2842
179,Q44-SBS,0,0,0,13,17,12,0,0,12,35,28,17,15,13,17,15,2,0,0,0,0,0,0,0,196
180,M34-SBS,59,6,0,0,0,36,89,198,238,280,287,307,266,317,348,423,416,380,417,300,217,199,162,92,5037
181,M15-SBS,15,0,0,0,23,629,1668,2870,3462,3620,3068,3172,3337,3766,4542,5341,5333,4748,4583,3810,3042,2216,1534,508,61287
182,M55,14,28,0,0,0,0,0,43,63,97,111,101,119,151,188,203,160,138,133,73,36,30,36,30,1754
183,M8,4,7,0,0,0,8,27,53,83,88,58,59,67,48,63,80,125,117,71,67,27,15,14,18,1099
184,Q1,93,139,75,83,125,147,344,462,292,294,349,383,284,248,298,326,450,428,435,405,304,206,150,126,6446
185,Q88,38,0,0,0,0,4,373,742,916,902,713,741,925,1093,1321,1550,1594,1257,1215,949,757,576,450,206,16322
186,S48,383,265,320,293,338,389,578,571,588,627,687,817,970,1101,1221,1167,746,613,730,649,539,373,343,378,14686
187,S52,163,97,2,0,62,159,397,480,439,366,428,409,403,477,523,652,708,643,554,635,535,465,482,355,9434
188,S40,304,364,326,332,445,659,624,767,468,301,305,395,441,676,752,682,537,471,666,463,473,366,309,263,11389
189,S66,73,29,0,0,0,32,231,269,111,114,123,40,51,59,165,271,118,215,217,157,116,148,157,178,2874
190,S51,191,198,192,160,187,388,446,543,412,362,353,509,505,480,585,701,625,434,413,522,378,258,310,292,9444
191,S76,48,0,0,0,5,112,268,446,378,407,376,388,450,525,665,880,676,445,505,539,429,406,362,289,8599
192,S81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,83,166,3,0,27,0,0,334
193,S53,435,362,341,339,428,796,1267,1468,1313,1350,1301,1367,1359,1456,1716,1916,1741,1485,1521,1247,1041,858,641,522,26270
194,S96,0,0,0,0,0,39,212,120,113,0,0,0,0,0,0,1,113,134,137,124,121,54,64,19,1251
195,S98,0,0,0,0,0,0,170,185,58,0,0,0,0,0,0,2,161,167,241,142,83,61,49,0,1319
196,S93,0,0,0,0,0,8,218,352,294,305,299,379,406,476,467,555,467,453,455,348,170,144,107,0,5903
