,Time,Borough,Passenger Count
216,2:29,Other,0
217,2:34,Total,488
218,2:34,Brooklyn,160
219,2:34,Bronx,103
220,2:34,Queens,122
221,2:34,Manhattan,61
222,2:34,Staten Island,39
223,2:34,Other,3
224,2:40,Total,491
225,2:40,Brooklyn,164
226,2:40,Bronx,94
227,2:40,Queens,127
228,2:40,Manhattan,62
229,2:40,Staten Island,41
230,2:40,Other,3
231,2:44,Total,515
232,2:44,Brooklyn,188
233,2:44,Bronx,113
234,2:44,Queens,108
235,2:44,Manhattan,66
236,2:44,Staten Island,37
237,2:44,Other,3
238,2:50,Total,516
239,2:50,Brooklyn,186
240,2:50,Bronx,140
241,2:50,Queens,94
242,2:50,Manhattan,71
243,2:50,Staten Island,24
244,2:50,Other,1
245,2:55,Total,514
246,2:55,Brooklyn,165
247,2:55,Bronx,157
248,2:55,Queens,111
249,2:55,Manhattan,55
250,2:55,Staten Island,25
251,2:55,Other,1
252,2:59,Total,534
253,2:59,Brooklyn,172
254,2:59,Bronx,160
255,2:59,Queens,113
256,2:59,Manhattan,62
257,2:59,Staten Island,27
258,2:59,Other,0
259,3:5,Total,566
260,3:5,Brooklyn,198
261,3:5,Bronx,144
262,3:5,Queens,113
263,3:5,Manhattan,65
264,3:5,Staten Island,45
265,3:5,Other,1
266,3:10,Total,562
267,3:10,Brooklyn,193
268,3:10,Bronx,143
269,3:10,Queens,123
270,3:10,Manhattan,65
271,3:10,Staten Island,38
272,3:10,Other,0
273,3:15,Total,538
274,3:15,Brooklyn,189
275,3:15,Bronx,119
276,3:15,Queens,135
277,3:15,Manhattan,65
278,3:15,Staten Island,27
279,3:15,Other,3
280,3:20,Total,498
281,3:20,Brooklyn,157
282,3:20,Bronx,106
283,3:20,Queens,137
284,3:20,Manhattan,68
285,3:20,Staten Island,26
286,3:20,Other,4
287,3:24,Total,524
288,3:24,Brooklyn,187
289,3:24,Bronx,99
290,3:24,Queens,143
291,3:24,Manhattan,69
292,3:24,Staten Island,22
293,3:24,Other,4
294,3:30,Total,504
295,3:30,Brooklyn,166
296,3:30,Bronx,99
297,3:30,Queens,140
298,3:30,Manhattan,67
299,3:30,Staten Island,27
300,3:30,Other,5
301,3:35,Total,508
302,3:35,Brooklyn,177
303,3:35,Bronx,89
304,3:35,Queens,131
305,3:35,Manhattan,66
306,3:35,Staten Island,38
307,3:35,Other,7
308,3:39,Total,528
309,3:39,Brooklyn,196
310,3:39,Bronx,98
311,3:39,Queens,125
312,3:39,Manhattan,57
313,3:39,Staten Island,42
314,3:39,Other,10
315,3:45,Total,492
316,3:45,Brooklyn,189
317,3:45,Bronx,93
318,3:45,Queens,104
319,3:45,Manhattan,60
320,3:45,Staten Island,31
321,3:45,Other,15
322,3:50,Total,488
323,3:50,Brooklyn,141
324,3:50,Bronx,100
325,3:50,Queens,169
326,3:50,Manhattan,55
327,3:50,Staten Island,14
328,3:50,Other,9
329,3:55,Total,555
330,3:55,Brooklyn,159
331,3:55,Bronx,115
332,3:55,Queens,147
333,3:55,Manhattan,68
334,3:55,Staten Island,46
335,3:55,Other,20
336,3:59,Total,594
337,3:59,Brooklyn,166
338,3:59,Bronx,121
339,3:59,Queens,168
340,3:59,Manhattan,79
341,3:59,Staten Island,40
342,3:59,Other,20
343,4:5,Total,678
344,4:5,Brooklyn,213
345,4:5,Bronx,146
346,4:5,Queens,202
347,4:5,Manhattan,76
348,4:5,Staten Island,20
349,4:5,Other,21
350,4:10,Total,739
351,4:10,Brooklyn,228
352,4:10,Bronx,163
353,4:10,Queens,222
