,Published Line Ref,Averages
217,Q49,1.807670130621231
218,Q29,2.3933310471801823
219,Q100,3.316871196924853
220,Q33,1.8440557167461584
221,Q101,2.809098830114266
222,Q39,2.380466561191326
223,Q47,2.09142984761266
224,Q22,3.610773116360962
225,Q11,2.9331285380106937
226,Q104,1.8619540080616723
227,Q103,2.360453156616354
228,Q72,1.763981346639408
229,Q35,4.872498933672775
230,Q41,2.4356678710192
231,Q110,2.984056338579995
232,Q64,2.541765264967791
233,Q21,2.7238766433426598
234,Q70-SBS,2.954414283868203
235,Q102,2.225228433160134
236,Q18,2.1249273982138432
237,Q25,2.8833045276490834
238,Q19,3.220418619458017
239,Q23,1.9080451495411337
240,Q65,2.974246786157495
241,Q66,2.8206364226273104
242,Q38,2.4136851675927176
243,Q34,2.53303176707189
244,QM15,5.029606380108048
245,BxM10,4.123483395787349
246,Q67,2.677250345650616
247,QM20,5.328231995952728
248,BxM1,3.9095748727378377
249,BxM3,4.447092996277615
250,B100,2.666278045287844
251,BM4,4.504025139680444
252,BxM8,4.791233101400833
253,BxM7,4.812583761879009
254,Q10,3.077749633964999
255,Q52-SBS,4.876509597565639
256,BxM6,3.7856687855482187
257,BxM9,4.81027667028641
258,BM1,4.654563506744288
259,BM2,4.723055834351505
260,BM5,5.20245887918079
261,Q112,1.9921524153081909
262,Q114,3.2934210166388707
263,Q111,2.794671599105136
264,Q113,3.345114744921649
265,Bx23,2.2266257335448043
266,Q50,4.46998001335095
267,BM3,4.827203614546144
268,SIM8,7.782353096856112
269,SIM2,10.375820046065522
270,SIM26,9.305933146084845
271,SIM10,6.127565163318252
272,QM7,5.61460816356835
273,SIM7,7.106908981108722
274,S42,1.8913493698568973
275,SIM3,5.507271880505359
276,SIM33,7.01244820372855
277,SIM1,7.111949316766114
278,X38,5.466200148385345
279,SIM11,6.253940188000708
280,SIM9,6.648922002639633
281,QM34,2.9572334829951243
282,X63,4.732257214992557
283,Q26,2.5353391061145034
284,SIM5,7.988963477208523
285,SIM22,9.628883091563338
286,SIM34,7.500537695819978
287,SIM15,5.45783703903523
288,QM35,5.013329650912652
289,QM10,3.607095287476435
290,QM24,4.043036480335847
291,SIM25,10.59683601306509
292,SIM35,8.05166707816578
293,SIM4,9.378594228241933
294,Bx20,2.292935462118028
295,S84,4.6495610926569615
296,QM32,4.212507422270486
297,QM25,5.376225891900334
298,S90,5.471413063759494
299,M98,3.719642483837268
300,QM40,2.7476100046260807
301,SIM30,7.171998385960626
302,SIM31,6.253918626246387
303,QM17,5.7497461750218
304,QM31,4.1324891933337105
305,QM16,5.494943123224038
306,X64,4.206786036908238
307,X68,5.2034693982257485
308,S89,5.281852296416041
309,SIM32,10.114990904283703
310,S94,3.929364794547617
311,QM21,4.630842069560354
312,S98,3.6813496685886493
313,X37,5.323427190128613
314,QM12,4.037725029802463
315,BxM18,4.807878025118994
316,QM1,5.306132731598602
317,S86,4.365644124092299
318,S91,3.714355474241521
319,SIM4X,11.056865708312422
320,SIM8X,8.344208447082234
321,QM11,4.717781012687817
322,S92,4.439072556768238
323,S81,4.075537262159665
324,S96,4.290881241360491
325,QM8,5.689083105636673
326,QM18,4.481563237471344
327,QM44,5.20440700518511
328,QM42,4.962773940916061
329,QM3,5.3577198552631735
330,QM36,5.670933576623417
