id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total
218,Q83,1229,727,302,287,819,3601,4578,4150,3216,3296,1858,2644,3843,4469,5646,6483,7097,5769,5399,4305,4235,2987,2280,1244,80464
219,S91,0,0,0,0,0,0,627,1656,1144,10,0,0,0,0,0,0,685,2147,2073,1487,32,0,0,0,9861
220,S94,0,0,0,0,0,0,571,994,287,0,0,0,0,0,0,68,1729,2581,1944,409,7,266,198,0,9054
221,S44,517,2,0,0,290,2053,4108,4628,5253,5192,4948,5010,4991,8145,9857,12387,10672,5683,6081,5636,4988,3211,2502,1907,108061
222,S78,1187,857,559,348,1078,2450,5718,7564,5955,5840,6552,6137,7214,10402,11768,13791,11413,8596,7942,5110,2967,3339,3707,1920,132414
223,S74,873,681,434,301,1139,4174,7569,8012,6101,5969,4126,4152,4926,6755,8077,9384,8959,6789,6940,5715,3155,2583,2865,2176,111855
224,S56,0,0,0,0,0,0,127,386,373,409,282,244,459,431,947,932,737,431,269,82,0,0,0,0,6109
225,S84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,1134,1060,609,25,38,738,67,0,4027
226,S46,955,650,787,468,1649,2457,3944,3680,3289,3529,3879,3702,4400,4597,6926,5867,7283,6495,5557,3043,2031,1547,1212,1067,79014
227,S42,52,102,0,0,0,216,163,184,65,25,2,0,0,26,100,56,472,229,523,431,145,172,173,123,3259
228,S54,0,0,0,0,0,1,549,475,517,221,262,374,518,566,1215,1378,1333,837,469,313,369,259,164,0,9820
229,S92,0,0,0,0,0,5,990,888,1170,22,0,0,0,0,0,0,550,1563,1083,175,0,0,0,0,6446
230,S59,438,187,0,0,137,1382,3554,5026,4042,3989,3096,2981,2917,4148,5881,8901,8412,6952,5527,3506,1907,1337,1524,663,76507
231,S89,0,0,0,0,0,132,583,1205,662,462,27,0,0,0,0,51,750,1399,1198,208,43,0,0,0,6720
232,S61,94,0,0,0,34,1149,2137,2066,2101,3718,3510,3512,4033,5404,7318,8646,6667,3113,2842,1489,2283,1757,1356,455,63684
233,S62,292,692,319,457,955,1783,2200,3214,1922,2247,2560,2054,2402,3121,3690,4131,5091,2511,2681,1905,1535,1216,1323,944,49245
234,Bx24,29,9,4,8,11,37,130,279,320,195,475,525,459,532,756,1031,927,798,252,319,171,320,169,118,7874
235,Q84,570,240,0,0,495,1569,3072,4487,3927,3713,2861,2320,2968,4288,5913,6358,6619,6510,6278,4070,3078,1851,1228,744,73159
236,Bx18,0,0,0,0,0,2,467,1582,1836,1328,1063,580,964,2175,2850,3877,2627,1987,2212,1754,768,486,318,0,26876
237,S79-SBS,777,6,0,0,1191,6616,19287,26404,19149,18184,14423,14879,16174,19989,26235,36375,36883,33767,26588,18488,13905,8558,7224,3666,368768
238,S57,3,0,0,0,0,0,905,1964,1616,1947,629,847,1184,1450,2486,3029,2476,2572,1968,1365,1166,582,490,150,26829
239,Q34,0,0,0,0,0,497,947,2086,1696,1897,2295,2324,3036,3319,3050,5168,1491,1265,1551,1746,1431,1101,306,8,35214
240,Q66,1027,448,295,530,1030,2077,4205,5973,4918,4040,3715,5022,5655,7502,11293,12328,12210,9834,9064,8526,6497,4121,2651,1737,124698
241,Q23,1700,1016,48,0,104,1981,4138,6154,4973,4910,4456,3875,4826,5433,6522,8028,9444,8546,7274,4666,3482,2326,2602,1688,98192
242,Q25,745,266,129,221,1431,4158,8093,8461,8220,9883,7308,4897,6238,5620,8340,12839,16056,15557,10039,6470,6115,3941,3047,1732,149806
243,Q65,1285,227,198,234,643,2296,5946,9191,7966,6957,5284,5851,8573,10818,11618,10931,13123,10886,10074,7710,6057,3728,3708,2701,146005
244,Q19,0,0,0,0,0,97,1458,2746,1669,1513,2048,2035,1943,2515,2419,2737,4195,3162,3589,1430,524,169,0,0,34249
245,BM3,29,0,0,0,0,133,452,125,365,73,139,0,0,4,13,0,3,169,105,75,7,0,0,3,1695
246,BM2,0,0,0,0,0,0,0,0,0,0,0,0,50,141,22,140,206,246,404,130,46,55,43,0,1483
247,BM5,16,0,0,0,0,196,1213,163,93,383,22,78,6,0,2,83,8,87,212,210,2,0,28,27,2829
248,BxM9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,31,3,4,0,0,0,0,219
249,QM11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,QM20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,QM12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,QM44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,QM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,QM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,QM5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,QM42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,QM8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,QM32,0,0,0,0,0,0,0,0,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
259,QM36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,QM7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,BxM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,BxM11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
