id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total
205,Q30,552,15,0,0,0,1878,6741,8049,8952,6350,5054,4862,5721,7094,10255,13531,10878,9764,7089,4838,3346,2830,2367,1583,121749
206,Q3,3143,1942,1554,1718,4539,6561,9428,12368,9238,7867,7687,8797,11297,14466,16376,18562,17106,15435,15013,11782,11922,11594,7747,5414,231556
207,Q17,1969,778,144,270,1176,4235,10466,15850,17787,18410,17860,16914,17984,19094,24386,26451,31112,27587,23037,16592,12619,8537,7080,4239,324577
208,Q85,3604,2147,995,814,2750,7959,12227,16735,13538,12892,12719,15130,19491,25239,28347,30137,33054,29506,23353,17787,14052,9695,7533,5533,345237
209,M66,576,26,0,0,3,1121,3982,7423,7076,4938,4399,4591,5783,6941,10585,13829,12355,8971,7142,4551,2993,1628,1717,1586,112216
210,M72,155,0,0,0,0,189,1280,2758,3636,4251,3934,4421,5624,6944,8692,10566,9541,7771,5463,3896,2293,1286,1012,690,84402
211,M57,224,43,0,0,0,0,60,328,676,631,731,482,926,1076,1327,1595,1928,1474,1762,1343,865,763,489,365,17088
212,B2,68,1,0,0,4,703,722,1422,1502,1436,1596,2001,2301,2392,3536,3420,4593,3241,2724,1696,1192,584,301,187,35622
213,B82-SBS,8,0,0,0,166,2177,13439,26743,29247,21084,12716,12885,14187,20096,27526,33910,35759,33105,27466,19304,12019,6068,3871,1177,352953
214,Q77,0,0,0,0,0,225,3586,7291,7993,5846,5016,5867,6714,7984,11461,13693,13064,11660,9808,5811,3793,2042,368,0,122222
215,B48,634,149,176,155,315,1390,2832,3709,3847,2834,2521,2974,3726,4371,5034,5542,6858,5532,4051,2403,1227,997,883,750,62910
216,B37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Q43,1095,688,921,1144,2913,5054,12384,20825,16319,13730,11636,11943,11737,14213,15628,19874,19641,15676,13331,10573,7181,5110,3315,2072,237003
