id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_avg
80,B9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0714,8.17204,6.81818,0.0,0.0,0.0,0.0,0.0,0.0,8.93636
81,B68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,M20,1.34483,1.0,0.0,0.0,0.0,0.0,0.0,2.5,2.50847,1.95312,2.03448,2.91935,3.80769,4.10417,4.232,3.99237,5.88983,3.65079,4.0,3.41739,2.86047,1.66667,1.70423,1.37705,3.34085
83,M7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,M2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,M5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,M98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,M4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,M96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,M11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75439,5.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73333
90,M9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.2,5.25561,5.62018,6.03425,7.52381,6.57292,7.38775,7.75962,7.03922,6.06803,6.48299,4.4507,3.81188,2.4382,2.51852,2.34483,1.18182,5.67663
91,M21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72727,3.36364,3.0,3.94444,1.75,1.64286,3.92308,4.77778,1.66667,0.0,0.0,0.0,0.0,2.81452
92,M42,3.78824,3.7,1.66129,2.39344,3.16667,4.91429,7.21491,6.77647,5.88604,4.61092,5.02564,5.12183,4.9685,7.84967,7.04889,7.80894,8.38384,6.95195,6.94118,6.00549,4.08333,4.75122,5.35172,5.28319,6.04284
93,M31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,M12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0625,2.4898,2.4058,2.34615,2.78261,3.33333,2.65909,2.61111,3.03226,4.27907,3.21429,2.95946,2.30137,1.92063,2.62222,2.0,0.0,2.80818
95,M116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,M104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
