id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_avg
201,B31,2.93878,2.86667,0.0,0.0,0.0,2.77193,2.46237,4.06748,4.87603,3.55556,3.36567,2.94444,4.00855,3.95238,4.37821,4.84,4.19412,4.00781,3.34667,3.32877,3.44094,3.09783,2.92308,2.75,3.72296
202,Q5,6.42276,5.43299,4.92308,2.78261,3.8617,7.75,9.66279,12.2018,13.8179,12.4768,12.4075,13.7791,16.2463,16.7612,15.074,14.6273,15.1284,16.3769,13.6283,13.6334,11.1885,10.7333,9.2043,9.87705,13.1279
203,Q42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Q4,6.07576,4.64249,3.42609,3.69231,4.81319,6.08511,8.52604,10.1306,9.39773,9.5625,11.0695,9.63986,10.3968,11.0252,11.7151,11.3782,12.4681,13.5957,11.8756,9.05263,9.4,7.95706,8.05204,7.18982,9.71294
205,Q30,2.02326,1.5,0.0,0.0,0.0,4.40625,6.85656,6.34084,6.70604,5.08753,4.94637,3.9822,4.43671,4.9557,6.03865,7.51,6.14917,6.70419,4.8237,5.14035,4.76889,5.32632,5.04242,4.40789,5.51226
206,Q3,4.78543,4.11111,3.0791,3.67081,4.98842,6.13014,8.43354,9.34343,8.18018,7.88636,7.98125,8.03069,9.47836,10.5556,10.7812,9.61977,8.44246,9.37885,8.71868,9.68871,11.0144,12.5666,10.8645,7.67078,8.67462
207,Q17,5.1871,4.73,1.68085,3.12963,3.91089,5.9625,8.88705,7.79825,7.5031,6.61454,6.90398,7.45112,7.29989,7.53589,8.46411,7.72025,8.74713,8.29167,7.6231,6.0323,5.25581,5.30462,5.22121,5.33074,7.16934
208,Q85,5.54545,4.27027,4.45133,3.10833,6.05952,8.62891,7.89412,8.36791,7.64859,9.01272,9.22014,9.75604,10.9042,12.4813,13.493,12.1551,13.4693,13.5863,11.541,10.2385,9.51073,8.10089,7.06103,6.82609,9.98319
209,M66,3.12281,1.3,0.0,0.0,0.0,1.71795,4.4486,5.40462,4.41135,3.7563,3.98225,4.56784,4.36207,4.93038,5.48947,5.59122,5.26055,4.7398,4.45455,4.12979,3.36577,2.43103,2.37696,2.77848,4.35224
210,M72,3.25926,0.0,0.0,0.0,0.0,0.0,2.02632,3.47778,2.61832,2.79452,3.66667,4.55276,4.97009,5.95142,6.4635,6.68847,6.4521,6.21368,4.62252,4.23232,3.38596,3.23846,3.53933,2.01639,4.8824
211,M57,1.96429,1.25,0.0,0.0,0.0,0.0,6.0,3.59375,3.37037,3.02381,4.33333,4.82222,5.01639,6.55128,5.03659,4.59302,5.0,5.43956,5.35,3.92135,3.43478,3.63514,2.74194,2.69355,4.35383
212,B2,2.07143,0.0,0.0,0.0,0.0,2.7907,2.27083,3.27835,3.1037,3.61468,5.5,7.08264,6.8983,8.63717,8.35338,10.2016,10.0145,7.28788,6.69792,4.68571,4.64912,2.77419,1.0,2.31818,6.06972
213,B82-SBS,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
214,Q77,0.0,0.0,0.0,0.0,0.0,0.0,6.11321,6.60331,7.60498,6.16732,6.71983,7.05455,7.05882,8.47619,8.55191,7.8,7.71379,9.13636,5.85185,5.27311,5.54717,5.94656,7.225,0.0,7.03948
215,B48,2.168,1.59615,2.375,1.84091,1.63158,1.58955,2.27807,3.06098,2.47273,3.18657,2.8655,3.52,4.79167,4.83161,5.1958,4.4854,4.70833,4.24151,3.97233,3.99115,3.8589,3.13245,2.97619,3.11404,3.69939
216,B37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,Q43,6.26882,4.13514,3.36885,3.92361,5.45513,5.02778,7.98239,11.276,10.655,9.16492,6.75854,7.80331,9.70026,10.1863,9.74206,10.3743,10.4683,10.4203,10.6071,9.80377,9.99034,10.4503,7.1962,7.59441,8.91639
218,Q83,7.375,3.3253,2.44578,2.15789,3.11321,6.35751,8.21173,7.67013,9.28772,7.71747,7.59426,6.44206,8.54043,9.81921,9.24229,9.96831,10.4746,10.114,9.09712,8.25267,6.84375,6.35023,6.52717,5.03731,7.89045
219,S91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,S94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,S44,3.11392,1.0,0.0,0.0,2.54545,5.68627,7.70714,9.45912,8.52577,7.81517,8.5,8.94643,8.41813,10.7082,10.141,12.7986,12.2024,12.6518,10.0124,9.53145,10.9845,8.65285,7.35669,5.86466,9.85063
222,S78,5.16387,4.07111,3.90213,2.73714,3.75728,5.65108,7.97101,10.2193,7.96317,8.79514,8.95862,8.36503,8.93333,8.95639,9.71671,9.10053,9.9119,8.74115,7.87668,6.2847,7.2287,6.13706,6.29911,5.25591,7.58625
223,S74,3.04615,4.82143,3.54074,2.04255,2.70714,5.22174,8.60377,8.88747,8.17308,7.21194,6.73214,7.80435,7.13388,8.39193,8.22895,9.60668,8.69957,7.76847,10.1451,9.50174,7.08421,6.5935,7.42449,4.69953,7.46528
224,S56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,S84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
